sysctl_key,risk,type,allowed_value_shape,효과_20자내,값의_기술적_의미,값을_바꿨을_때의_효과,값을_바꿀_때의_주의사항
net.core.somaxconn,medium,int,128-65535,대기연결 완화 예상,listen backlog의 커널 상한값이다. 애플리케이션이 listen backlog를 크게 요청해도 이 값보다 큰 대기열은 사용할 수 없다.,값을 올리면 짧은 시간에 들어오는 TCP 연결 요청을 더 오래 대기시켜 accept queue 압박을 완화할 수 있다.,애플리케이션 자체 backlog가 낮으면 효과가 거의 없다. accept 처리 속도가 느린 근본 문제를 숨길 수 있다. 대기 연결 증가로 메모리 사용이 늘 수 있다.
net.core.netdev_max_backlog,medium,int,1000-250000,수신대기 완화 예상,네트워크 장치에서 들어온 패킷이 처리되기 전 backlog queue에 쌓일 수 있는 최대 패킷 수다.,값을 올리면 순간적인 RX packet burst를 더 흡수해 receive drop이나 softnet drop을 줄일 수 있다.,CPU softirq 병목을 해결하지는 않는다. queueing이 길어지면 지연 시간이 늘 수 있다. 현재 커널에서 해당 key가 없으면 적용하면 안 된다.
net.core.rmem_max,medium,int,262144-134217728,수신버퍼 여유 증가,개별 socket이 사용할 수 있는 receive buffer의 최대 상한값이다.,값을 올리면 high throughput receive workload에서 socket receive buffer 부족으로 인한 수신 압박을 줄일 수 있다.,애플리케이션이 큰 buffer를 요청해야 효과가 난다. socket 수가 많으면 메모리 사용량이 커질 수 있다. packet loss나 CPU 병목의 대체 해결책은 아니다.
net.core.wmem_max,medium,int,262144-134217728,송신버퍼 여유 증가,개별 socket이 사용할 수 있는 send buffer의 최대 상한값이다.,값을 올리면 high throughput send workload에서 send buffer 부족으로 인한 송신 제한을 완화할 수 있다.,애플리케이션이 큰 buffer를 요청해야 효과가 난다. 과도한 buffer는 지연과 bufferbloat를 키울 수 있다. 메모리 사용량 증가를 확인해야 한다.
net.core.rmem_default,medium,same_shape,현재값과 같은 형식,기본수신버퍼 조정,새 socket이 별도 요청 없이 받는 기본 receive buffer 크기다.,기본 수신 buffer를 키우면 여러 일반 socket의 RX 여유가 늘어날 수 있다.,모든 기본 socket에 영향을 준다. socket 수가 많으면 메모리 사용이 커질 수 있다. rmem_max와 애플리케이션 설정도 같이 봐야 한다.
net.core.wmem_default,medium,same_shape,현재값과 같은 형식,기본송신버퍼 조정,새 socket이 별도 요청 없이 받는 기본 send buffer 크기다.,기본 송신 buffer를 키우면 일반 송신 workload의 buffer 부족을 완화할 수 있다.,모든 기본 socket에 영향을 준다. 과도하면 지연과 메모리 사용이 늘 수 있다. wmem_max와 실제 workload를 같이 확인해야 한다.
net.core.optmem_max,medium,same_shape,현재값과 같은 형식,부가메모리 여유 조정,socket ancillary data와 제어 메시지에 사용할 수 있는 per-socket 부가 메모리 상한이다.,특수 socket 옵션이나 제어 메시지가 많은 workload에서 메모리 부족 가능성을 낮출 수 있다.,일반 트래픽 처리에는 효과가 작을 수 있다. 큰 값은 per-socket 메모리 상한을 늘린다. 실제 제어 메시지 병목인지 확인해야 한다.
net.ipv4.tcp_max_syn_backlog,medium,int,128-65535,SYN 대기 완화 예상,TCP 3-way handshake가 완료되기 전 SYN_RECV 상태 요청을 보관하는 backlog 상한값이다.,값을 올리면 inbound connection burst 때 아직 완료되지 않은 handshake를 더 많이 보관해 SYN backlog 압박을 완화할 수 있다.,SYN flood 방어 자체를 대신하지 않는다. 메모리 사용이 늘 수 있다. 애플리케이션 accept 지연이나 방화벽 문제와 구분해야 한다.
net.ipv4.tcp_fin_timeout,medium,int,10-120,종료대기 단축 예상,TCP 연결 종료 과정에서 FIN_WAIT2 상태를 유지하는 시간 기준이다.,값을 낮추면 종료 중인 연결이 더 빨리 정리되어 FIN_WAIT2 누적과 관련 자원 점유를 줄일 수 있다.,너무 낮으면 느린 상대나 지연 큰 경로에서 정상 종료 여유가 줄 수 있다. 장기 연결 서비스에서는 연결 종료 동작을 반드시 관찰해야 한다.
net.ipv4.tcp_tw_reuse,high,enum,0|1|2,TIME_WAIT 재사용 조정,TIME_WAIT 상태 TCP socket을 특정 조건에서 새 연결에 재사용할지 정하는 동작값이다.,값을 완화하면 연결 회전이 매우 많은 환경에서 ephemeral port 압박과 TIME_WAIT 누적을 줄일 수 있다.,TCP 재사용 동작을 바꾸는 고위험 설정이다. NAT 구간이나 오래된 커널 및 방화벽과의 호환성 문제가 있을 수 있다. 충분한 테스트 없이 운영 반영하면 안 된다.
net.ipv4.ip_local_port_range,medium,port_range,low>=ip_unprivileged_port_start high<=65535 low<high,포트고갈 완화 예상,로컬에서 outbound connection을 만들 때 사용할 ephemeral port 범위다.,범위를 넓히면 연결 회전이 많을 때 임시 포트 고갈 가능성을 낮출 수 있다.,low는 net.ipv4.ip_unprivileged_port_start 값보다 작으면 안 된다. low와 high는 parity가 다른 것이 권장된다. 예약 포트와 방화벽 및 NAT 정책과 충돌하지 않아야 한다.
